project_name,buildID,build_State,duplicatedCode,GodClass,GodMethod,CyclomaticComplexity,DataClass,File_Modified
gradle/gradle,33251707,1,0,0,0,0,0,2
gradle/gradle,33395911,1,0,0,0,0,0,4
gradle/gradle,33786744,1,0,0,0,0,0,0
gradle/gradle,55046677,1,0,0,0,0,0,1
gradle/gradle,48037188,1,0,0,0,0,0,3
gradle/gradle,48296372,1,0,0,0,0,0,3
gradle/gradle,50440682,1,0,0,0,0,0,0
gradle/gradle,50521505,1,0,0,0,0,0,0
gradle/gradle,56477957,1,0,0,0,0,0,0
gradle/gradle,62067884,1,0,0,0,0,0,17
gradle/gradle,36896487,1,0,2,1,1,0,2
gradle/gradle,46409065,1,0,1,2,3,0,4
gradle/gradle,38225830,1,0,0,0,0,0,1
gradle/gradle,21447004,1,0,0,0,0,0,0
gradle/gradle,43618861,1,0,0,0,0,0,0
gradle/gradle,43814534,1,0,0,0,0,0,11
gradle/gradle,32557628,1,0,0,0,0,0,0
gradle/gradle,33450226,1,0,0,0,0,0,0
gradle/gradle,60664531,0,0,0,0,0,0,0
gradle/gradle,47551012,1,0,0,0,0,0,1
gradle/gradle,56099114,1,0,0,0,0,0,0
gradle/gradle,56847130,1,0,0,0,0,0,1
gradle/gradle,56942476,1,0,0,0,0,0,0
gradle/gradle,61134641,1,0,0,0,0,0,2
gradle/gradle,20444466,0,0,0,0,0,0,1
gradle/gradle,38268422,1,0,0,0,0,0,0
gradle/gradle,29529531,1,0,0,0,0,0,0
gradle/gradle,39916970,1,0,0,0,0,0,0
gradle/gradle,22978909,1,0,0,0,0,0,6
gradle/gradle,30685087,1,0,0,0,0,0,0
gradle/gradle,43675345,1,0,0,0,0,0,1
gradle/gradle,35220289,1,0,0,0,0,0,0
gradle/gradle,35623731,1,0,0,0,0,0,0
gradle/gradle,53865327,1,0,0,0,0,0,2
gradle/gradle,53941335,1,0,0,0,0,0,0
gradle/gradle,57889767,1,0,0,0,0,0,0
gradle/gradle,57996718,1,0,0,0,0,0,0
gradle/gradle,62078295,1,0,1,0,1,0,8
gradle/gradle,44145828,1,0,0,0,0,0,34
gradle/gradle,36403621,1,0,0,0,0,0,0
gradle/gradle,36603137,1,0,0,0,0,0,0
gradle/gradle,36740509,1,0,0,0,0,0,0
gradle/gradle,28747836,1,0,0,0,0,0,0
gradle/gradle,39751495,1,0,0,0,0,0,1
gradle/gradle,39775024,1,0,0,0,0,0,0
gradle/gradle,22402267,1,0,0,0,0,0,2
gradle/gradle,30630282,1,0,0,0,0,0,7
gradle/gradle,30755461,1,0,0,0,0,0,3
gradle/gradle,25007874,1,0,0,0,0,0,1
gradle/gradle,33775685,1,0,0,0,0,0,0
gradle/gradle,53930529,1,0,0,0,0,0,0
gradle/gradle,56095599,1,0,0,0,0,0,64
gradle/gradle,62218582,0,0,0,0,0,0,0
gradle/gradle,36574919,0,0,0,0,0,0,1
gradle/gradle,36704985,1,0,0,0,0,0,0
gradle/gradle,37412665,1,0,0,0,0,0,2
gradle/gradle,21839194,1,0,0,0,0,0,1
gradle/gradle,21870780,1,0,0,0,0,0,1
gradle/gradle,22263165,1,0,0,0,0,0,10
gradle/gradle,40108633,1,0,0,0,0,0,0
gradle/gradle,40760843,1,0,0,0,0,0,2
gradle/gradle,30686614,1,0,0,0,0,0,0
gradle/gradle,41112108,1,0,0,0,0,0,0
gradle/gradle,31575187,1,0,0,0,0,0,0
gradle/gradle,32510482,1,0,0,0,0,0,1
gradle/gradle,52842267,1,0,0,0,0,0,6
gradle/gradle,58497268,1,0,0,0,0,0,0
gradle/gradle,60342820,1,0,0,0,0,0,1
gradle/gradle,44300958,1,0,0,0,0,0,1
gradle/gradle,37367779,1,0,0,0,0,0,1
gradle/gradle,46279921,1,0,0,0,0,0,2
gradle/gradle,38081727,1,0,0,0,0,0,2
gradle/gradle,21917100,1,0,0,0,0,0,0
gradle/gradle,40518142,1,0,0,0,0,0,14
gradle/gradle,23290651,1,0,0,0,0,0,0
gradle/gradle,23561306,1,0,0,0,0,0,0
gradle/gradle,43429087,1,0,0,0,0,0,0
gradle/gradle,26478343,1,0,0,0,0,0,0
gradle/gradle,33953698,1,0,0,0,0,0,0
gradle/gradle,34862482,1,0,0,0,0,0,415
gradle/gradle,53568764,1,0,0,0,0,0,0
gradle/gradle,56499840,1,0,0,2,2,0,5
gradle/gradle,58501848,1,0,0,0,0,0,11
gradle/gradle,60221336,1,0,0,0,0,0,4
gradle/gradle,36690668,1,0,0,0,0,0,5
